Fusion Strategy,F1-Macro,AUC-ROC,Model
Early Fusion (concat -> Stacking),0.8959 ± 0.0188,0.9655 ± 0.0269,Stacking (RF + XGB + LightGBM)
Late Fusion (per-omics -> soft vote),0.9247,0.9839,XGBoost x 4 (one per omics)
