Model,accuracy,precision,recall,f1_macro,roc_auc,mcc
Logistic Regression,0.8879 ± 0.0182,0.8984 ± 0.0188,0.8879 ± 0.0182,0.8267 ± 0.0302,0.9226 ± 0.0424,0.6589 ± 0.0622
SVM (RBF),0.9277 ± 0.0164,0.9262 ± 0.0170,0.9277 ± 0.0164,0.8725 ± 0.0343,0.9567 ± 0.0240,0.7507 ± 0.0621
KNN (k=5),0.8284 ± 0.0400,0.8917 ± 0.0178,0.8284 ± 0.0400,0.7754 ± 0.0423,0.9189 ± 0.0321,0.6011 ± 0.0681
Naive Bayes,0.8255 ± 0.0183,0.8780 ± 0.0158,0.8255 ± 0.0183,0.7637 ± 0.0216,0.9136 ± 0.0300,0.5656 ± 0.0463
Random Forest,0.9333 ± 0.0188,0.9330 ± 0.0179,0.9333 ± 0.0188,0.8872 ± 0.0294,0.9587 ± 0.0262,0.7768 ± 0.0582
XGBoost (tuned),0.9390 ± 0.0193,0.9394 ± 0.0190,0.9390 ± 0.0193,0.8992 ± 0.0313,0.9605 ± 0.0392,0.7992 ± 0.0624
LightGBM (tuned),0.9376 ± 0.0130,0.9377 ± 0.0120,0.9376 ± 0.0130,0.8965 ± 0.0196,0.9590 ± 0.0363,0.7938 ± 0.0389
Stacking Ensemble,0.9319 ± 0.0146,0.9311 ± 0.0144,0.9319 ± 0.0146,0.8841 ± 0.0237,0.9623 ± 0.0303,0.7705 ± 0.0469
