Model_A,Model_B,p_value,significant_p05
LR,SVM,0.3125,no
LR,KNN,0.0625,no
LR,NB,0.0625,no
LR,RF,0.0625,no
LR,XGB,0.0625,no
LR,LGBM,0.125,no
SVM,KNN,0.0625,no
SVM,NB,0.0625,no
SVM,RF,0.8125,no
SVM,XGB,0.4375,no
SVM,LGBM,0.625,no
KNN,NB,0.25,no
KNN,RF,0.0625,no
KNN,XGB,0.0625,no
KNN,LGBM,0.0625,no
NB,RF,0.0625,no
NB,XGB,0.0625,no
NB,LGBM,0.0625,no
RF,XGB,0.125,no
RF,LGBM,0.3125,no
XGB,LGBM,1.0,no
