Model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_macro,f1_macro_std,roc_auc,roc_auc_std,mcc,mcc_std
Logistic Regression,0.8978723404255318,0.020358439850223137,0.9076974139877574,0.009795901722324765,0.8978723404255318,0.020358439850223137,0.8409102230192348,0.022591893804540103,0.9231018708669356,0.036822501338600974,0.688760188572511,0.038699960368548225
SVM (RBF),0.9375886524822695,0.02432117475103863,0.9371414530063877,0.024889706780076903,0.9375886524822695,0.02432117475103863,0.8887445653494226,0.04951545071389437,0.9523575009616201,0.024932890558714213,0.7852484792199805,0.09012553794499675
KNN (k=5),0.8368794326241135,0.04747007242746528,0.8989917438662515,0.020461978620874854,0.8368794326241135,0.04747007242746528,0.7870172704751295,0.05190485294405379,0.9259601313453334,0.02969820528156383,0.6246179976278505,0.08207491246957879
Naive Bayes,0.851063829787234,0.02456809656126071,0.8893506673870544,0.016857805404532574,0.851063829787234,0.02456809656126071,0.792153972278087,0.028906147039778896,0.915543559754086,0.03206728907360682,0.6116593463712686,0.054723481246565536
Random Forest,0.9319148936170212,0.020358439850223183,0.9315187987906748,0.020229192710773357,0.9319148936170212,0.020358439850223183,0.8801492578185511,0.03772874335523268,0.9607980685021114,0.027349414904435734,0.7674622894115304,0.0698354501826381
XGBoost (tuned),0.9390070921985816,0.016541707503107222,0.9397694448679477,0.015681044693038795,0.9390070921985816,0.016541707503107222,0.8986042268171767,0.02600399821798348,0.9633694293953639,0.03143551015156935,0.799225373129224,0.051618128890103185
LightGBM (tuned),0.9432624113475179,0.01345650068156759,0.9445590220661699,0.011322779541110632,0.9432624113475179,0.01345650068156759,0.9053703373642069,0.019469220913207252,0.9601855002922891,0.03355657001545168,0.8139859483653552,0.03731276716524686
Stacking Ensemble,0.9390070921985816,0.012365670761817531,0.939100735303944,0.011462170826422575,0.9390070921985816,0.012365670761817531,0.895890410275317,0.0187693722726935,0.9654869925960696,0.026911259776748662,0.7954783386386253,0.0368760092142513
