Fold,F1_Macro,AUC_ROC
1,0.8541379310344828,0.9183946488294316
2,0.9106382978723404,0.98561872909699
3,0.874465811965812,0.9645484949832777
4,0.9220707442888725,0.9862876254180603
5,0.8954436846008075,0.9658869395711501
