Fold,LR,SVM,KNN,NB,RF,XGB,LGBM
0,0.777180783817952,0.8281293952180029,0.7149595687331536,0.7649489019352033,0.8493589743589743,0.8683473389355743,0.8683473389355743
1,0.8541379310344828,0.9270689655172414,0.8417508417508417,0.8062122045079714,0.9270689655172414,0.9382499781028291,0.9162210338680927
2,0.8305967160592711,0.8641499518262241,0.8467058056099152,0.7853881278538812,0.874465811965812,0.9027586206896552,0.8995726495726496
3,0.8480603448275862,0.8641499518262241,0.8062122045079714,0.7932551319648093,0.8922841864018334,0.9186784213561836,0.9401578813343519
4,0.8518018018018019,0.8570760233918129,0.7315275474479455,0.7518853695324283,0.8757709251101322,0.8790643274853801,0.8697660098522167
