Model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_macro,f1_macro_std,roc_auc,roc_auc_std,mcc,mcc_std
Logistic Regression,0.8879432624113475,0.01816489145371019,0.8983856720149508,0.01880817031799333,0.8879432624113475,0.01816489145371019,0.8266735069731537,0.03021510613713256,0.922603132381927,0.04238629722534151,0.6589091672462326,0.06223583090190923
SVM (RBF),0.9276595744680852,0.01641962681246843,0.926175499165379,0.016970309978631994,0.9276595744680852,0.01641962681246843,0.8724974017196709,0.034270451453465856,0.9567416186943266,0.02398102463354775,0.7507154026877516,0.062054656378598805
KNN (k=5),0.8283687943262411,0.039968802279731555,0.8917142063069752,0.017833943827476318,0.8283687943262411,0.039968802279731555,0.7753966214701828,0.04225339403280645,0.9189090992065821,0.032117568923466316,0.6011146558075845,0.068148131164628
Naive Bayes,0.825531914893617,0.018275317342872514,0.8779880485823547,0.01577923889109756,0.825531914893617,0.018275317342872514,0.7636859899707763,0.021586928426167284,0.9135636005658888,0.03004379947489873,0.5655515918932776,0.04631640223321918
Random Forest,0.9333333333333332,0.01881772930698102,0.9330237212715311,0.017919422345146877,0.9333333333333332,0.01881772930698102,0.8871670467060666,0.029407751717139465,0.9587005852299522,0.02619640847610427,0.7767632957030667,0.058211175062298656
