feature,omics_group,prefix
rs_ABCC8,mRNA,rs_
rs_PPAN-P2RY11,mRNA,rs_
rs_SORCS1,mRNA,rs_
rs_NKAIN1,mRNA,rs_
rs_SAA1,mRNA,rs_
rs_SLC44A4,mRNA,rs_
rs_RBP4,mRNA,rs_
rs_ARHGAP36,mRNA,rs_
rs_SDR16C5,mRNA,rs_
rs_GSTA1,mRNA,rs_
rs_TF,mRNA,rs_
rs_C2orf54,mRNA,rs_
rs_LY6D,mRNA,rs_
rs_S100A7A,mRNA,rs_
rs_KRT15,mRNA,rs_
rs_CYP4F22,mRNA,rs_
rs_GLYATL2,mRNA,rs_
rs_BBOX1,mRNA,rs_
rs_CAPN8,mRNA,rs_
rs_SOSTDC1,mRNA,rs_
rs_TMPRSS4,mRNA,rs_
rs_DSG1,mRNA,rs_
rs_CASP14,mRNA,rs_
rs_LCN2,mRNA,rs_
rs_PGLYRP2,mRNA,rs_
rs_SPAG6,mRNA,rs_
rs_CAPN6,mRNA,rs_
rs_TMEM132C,mRNA,rs_
rs_CCL21,mRNA,rs_
rs_PI3,mRNA,rs_
rs_SLC7A4,mRNA,rs_
rs_NBPF6,mRNA,rs_
rs_MAGEA3,mRNA,rs_
rs_TSPAN8,mRNA,rs_
rs_SCUBE2,mRNA,rs_
rs_SLC19A3,mRNA,rs_
rs_KLK8,mRNA,rs_
rs_RIMS4,mRNA,rs_
rs_ROPN1B,mRNA,rs_
rs_MSMB,mRNA,rs_
rs_IL20,mRNA,rs_
rs_NEK10,mRNA,rs_
rs_EDN3,mRNA,rs_
rs_SLC13A2,mRNA,rs_
rs_S100A8,mRNA,rs_
rs_TRIM29,mRNA,rs_
rs_SYT8,mRNA,rs_
rs_ORM2,mRNA,rs_
rs_PON3,mRNA,rs_
rs_FAM3B,mRNA,rs_
rs_FGB,mRNA,rs_
rs_S100A9,mRNA,rs_
rs_LPPR3,mRNA,rs_
rs_HS6ST3,mRNA,rs_
rs_SERPINA5,mRNA,rs_
rs_WFDC2,mRNA,rs_
rs_CHRDL1,mRNA,rs_
rs_ZIC1,mRNA,rs_
rs_CST4,mRNA,rs_
rs_PCOLCE2,mRNA,rs_
rs_NCRNA00052,mRNA,rs_
rs_ERBB4,mRNA,rs_
rs_C2orf40,mRNA,rs_
rs_DARC,mRNA,rs_
rs_C16orf89,mRNA,rs_
rs_ACTL8,mRNA,rs_
rs_TMC5,mRNA,rs_
rs_ABCA8,mRNA,rs_
rs_SLC9A2,mRNA,rs_
rs_COL10A1,mRNA,rs_
rs_FOXJ1,mRNA,rs_
rs_ANXA8,mRNA,rs_
rs_THRSP,mRNA,rs_
rs_ABCC13,mRNA,rs_
rs_MARCO,mRNA,rs_
rs_PPP1R1A,mRNA,rs_
rs_PI15,mRNA,rs_
rs_WDR72,mRNA,rs_
rs_AKR1C2,mRNA,rs_
rs_SPDYC,mRNA,rs_
rs_ATP6V0A4,mRNA,rs_
rs_ALOX15B,mRNA,rs_
rs_TRPA1,mRNA,rs_
rs_ELOVL2,mRNA,rs_
