feature,omics_group,prefix
cn_IL20RA,CNV,cn_
cn_IL22RA2,CNV,cn_
cn_GPR126,CNV,cn_
cn_SAMD5,CNV,cn_
cn_ULBP1,CNV,cn_
cn_PPP1R14C,CNV,cn_
cn_IYD,CNV,cn_
cn_ESR1,CNV,cn_
cn_PNLDC1,CNV,cn_
cn_SLC22A3,CNV,cn_
cn_DACT2,CNV,cn_
cn_AMZ1,CNV,cn_
cn_ITGB8,CNV,cn_
cn_ABCB5,CNV,cn_
cn_DNAH11,CNV,cn_
cn_MGAM,CNV,cn_
cn_PRSS1,CNV,cn_
cn_PIP,CNV,cn_
cn_CNTNAP2,CNV,cn_
cn_KCNH2,CNV,cn_
cn_WDR86,CNV,cn_
cn_DPP6,CNV,cn_
cn_EN2,CNV,cn_
cn_MNX1,CNV,cn_
cn_PTPRN2,CNV,cn_
cn_VIPR2,CNV,cn_
cn_CSMD1,CNV,cn_
cn_DEFB1,CNV,cn_
cn_BLK,CNV,cn_
cn_GATA4,CNV,cn_
cn_SLC7A2,CNV,cn_
cn_FGL1,CNV,cn_
cn_NAT1,CNV,cn_
cn_LPL,CNV,cn_
cn_NPM2,CNV,cn_
cn_HR,CNV,cn_
cn_EGR3,CNV,cn_
cn_PEBP4,CNV,cn_
cn_ADAMDEC1,CNV,cn_
cn_NEFL,CNV,cn_
cn_SCARA5,CNV,cn_
cn_NRG1,CNV,cn_
cn_ADAM32,CNV,cn_
cn_IDO1,CNV,cn_
cn_C8orf4,CNV,cn_
cn_ZMAT4,CNV,cn_
cn_SFRP1,CNV,cn_
cn_ANK1,CNV,cn_
cn_EFCAB1,CNV,cn_
cn_PXDNL,CNV,cn_
cn_OPRK1,CNV,cn_
cn_RP1,CNV,cn_
cn_SDR16C5,CNV,cn_
cn_PENK,CNV,cn_
cn_CA8,CNV,cn_
cn_TRIM55,CNV,cn_
cn_C8orf46,CNV,cn_
cn_CPA6,CNV,cn_
cn_PREX2,CNV,cn_
cn_C8orf34,CNV,cn_
cn_XKR9,CNV,cn_
cn_EYA1,CNV,cn_
cn_TRPA1,CNV,cn_
cn_PI15,CNV,cn_
cn_CRISPLD1,CNV,cn_
cn_HNF4G,CNV,cn_
cn_PKIA,CNV,cn_
cn_FABP4,CNV,cn_
cn_CA3,CNV,cn_
cn_CA2,CNV,cn_
cn_ATP6V0D2,CNV,cn_
cn_MATN2,CNV,cn_
cn_C8orf47,CNV,cn_
cn_RGS22,CNV,cn_
cn_RIMS2,CNV,cn_
cn_PKHD1L1,CNV,cn_
cn_CSMD3,CNV,cn_
cn_SLC30A8,CNV,cn_
cn_TNFRSF11B,CNV,cn_
cn_COL14A1,CNV,cn_
cn_FAM83A,CNV,cn_
cn_GSDMC,CNV,cn_
cn_FAM135B,CNV,cn_
cn_COL22A1,CNV,cn_
cn_BAI1,CNV,cn_
cn_ARC,CNV,cn_
cn_PSCA,CNV,cn_
cn_LY6K,CNV,cn_
cn_GPIHBP1,CNV,cn_
cn_MAPK15,CNV,cn_
cn_GPT,CNV,cn_
cn_SLC1A1,CNV,cn_
cn_RLN2,CNV,cn_
cn_IL33,CNV,cn_
cn_TYRP1,CNV,cn_
cn_FREM1,CNV,cn_
cn_SH3GL2,CNV,cn_
cn_SLC24A2,CNV,cn_
cn_CDKN2A,CNV,cn_
cn_DMRTA1,CNV,cn_
cn_ELAVL2,CNV,cn_
cn_TMEM215,CNV,cn_
cn_AQP7,CNV,cn_
cn_AQP3,CNV,cn_
cn_PRSS3,CNV,cn_
cn_DNAI1,CNV,cn_
cn_CNTFR,CNV,cn_
cn_CCL19,CNV,cn_
cn_KIAA1045,CNV,cn_
cn_CA9,CNV,cn_
cn_HRCT1,CNV,cn_
cn_MELK,CNV,cn_
cn_PAX5,CNV,cn_
cn_CNTNAP3,CNV,cn_
cn_PGM5,CNV,cn_
cn_GPR144,CNV,cn_
cn_LCN2,CNV,cn_
cn_ENTPD8,CNV,cn_
cn_CACNA1B,CNV,cn_
cn_TUBBP5,CNV,cn_
cn_AKR1E2,CNV,cn_
cn_CALML5,CNV,cn_
cn_CALML3,CNV,cn_
cn_ITIH5,CNV,cn_
cn_ITIH2,CNV,cn_
cn_GATA3,CNV,cn_
cn_MCM10,CNV,cn_
cn_BEND7,CNV,cn_
cn_ITGA8,CNV,cn_
cn_ST8SIA6,CNV,cn_
cn_MRC1,CNV,cn_
cn_ARMC3,CNV,cn_
cn_C10orf107,CNV,cn_
cn_SYNPO2L,CNV,cn_
cn_DUSP13,CNV,cn_
cn_PLAC9,CNV,cn_
cn_MAT1A,CNV,cn_
cn_DYDC2,CNV,cn_
cn_C10orf90,CNV,cn_
cn_FAM196A,CNV,cn_
cn_KNDC1,CNV,cn_
cn_SYCE1,CNV,cn_
cn_WT1,CNV,cn_
cn_ELF5,CNV,cn_
cn_EHF,CNV,cn_
cn_SLC1A2,CNV,cn_
cn_LRRC4C,CNV,cn_
cn_CTSW,CNV,cn_
cn_SYT12,CNV,cn_
cn_ACY3,CNV,cn_
cn_GAL,CNV,cn_
cn_MYEOV,CNV,cn_
cn_FOLR1,CNV,cn_
cn_PLEKHB1,CNV,cn_
cn_CHRDL2,CNV,cn_
cn_MOGAT2,CNV,cn_
cn_DGAT2,CNV,cn_
cn_WNT11,CNV,cn_
cn_KCTD14,CNV,cn_
cn_THRSP,CNV,cn_
cn_FAM181B,CNV,cn_
cn_PGR,CNV,cn_
cn_MMP7,CNV,cn_
cn_MMP10,CNV,cn_
cn_MMP3,CNV,cn_
cn_GRIA4,CNV,cn_
cn_C11orf92,CNV,cn_
cn_CRYAB,CNV,cn_
cn_NCAM1,CNV,cn_
cn_DRD2,CNV,cn_
cn_ZBTB16,CNV,cn_
cn_DSCAML1,CNV,cn_
cn_TMPRSS4,CNV,cn_
cn_CD3E,CNV,cn_
cn_CD3D,CNV,cn_
cn_TTC36,CNV,cn_
cn_CXCR5,CNV,cn_
cn_TRIM29,CNV,cn_
cn_GRIK4,CNV,cn_
cn_VSIG2,CNV,cn_
cn_HEPACAM,CNV,cn_
cn_PKNOX2,CNV,cn_
cn_BARX2,CNV,cn_
cn_TMEM45B,CNV,cn_
cn_ADAMTS8,CNV,cn_
cn_ADAMTS15,CNV,cn_
cn_IGSF9B,CNV,cn_
cn_B3GAT1,CNV,cn_
cn_B4GALNT3,CNV,cn_
cn_LRTM2,CNV,cn_
cn_KCNA1,CNV,cn_
cn_NTF3,CNV,cn_
cn_SCNN1A,CNV,cn_
cn_CLEC4E,CNV,cn_
cn_A2ML1,CNV,cn_
cn_KLRB1,CNV,cn_
cn_BCL2L14,CNV,cn_
cn_MGP,CNV,cn_
cn_ERP27,CNV,cn_
cn_LMO3,CNV,cn_
cn_RERGL,CNV,cn_
cn_SLCO1A2,CNV,cn_
cn_C12orf39,CNV,cn_
cn_TUBA3C,CNV,cn_
cn_GJB2,CNV,cn_
cn_GJB6,CNV,cn_
cn_FGF9,CNV,cn_
cn_SGCG,CNV,cn_
cn_ATP8A2,CNV,cn_
cn_SHISA2,CNV,cn_
cn_GPR12,CNV,cn_
cn_FLT3,CNV,cn_
cn_DCLK1,CNV,cn_
cn_FREM2,CNV,cn_
cn_PCDH20,CNV,cn_
cn_PCDH9,CNV,cn_
cn_KLHL1,CNV,cn_
cn_DACH1,CNV,cn_
cn_SCEL,CNV,cn_
cn_SLAIN1,CNV,cn_
cn_POU4F1,CNV,cn_
cn_SLITRK1,CNV,cn_
cn_SLITRK6,CNV,cn_
cn_SLITRK5,CNV,cn_
cn_CLDN10,CNV,cn_
cn_HS6ST3,CNV,cn_
cn_OXGR1,CNV,cn_
cn_SLC15A1,CNV,cn_
cn_ZIC5,CNV,cn_
cn_FAM155A,CNV,cn_
cn_F7,CNV,cn_
cn_DHRS2,CNV,cn_
cn_NOVA1,CNV,cn_
cn_COCH,CNV,cn_
cn_PAX9,CNV,cn_
cn_FOXA1,CNV,cn_
cn_SSTR1,CNV,cn_
cn_ABHD12B,CNV,cn_
cn_PRIMA1,CNV,cn_
cn_IFI27,CNV,cn_
cn_PPP4R4,CNV,cn_
cn_SERPINA6,CNV,cn_
cn_SERPINA1,CNV,cn_
cn_SERPINA11,CNV,cn_
cn_SERPINA5,CNV,cn_
cn_SERPINA3,CNV,cn_
cn_TCL1B,CNV,cn_
cn_DEGS2,CNV,cn_
cn_DLK1,CNV,cn_
cn_DIO3,CNV,cn_
cn_TDRD9,CNV,cn_
cn_C14orf180,CNV,cn_
cn_PLD4,CNV,cn_
cn_CRIP1,CNV,cn_
cn_THSD4,CNV,cn_
cn_GRAMD2,CNV,cn_
cn_C15orf59,CNV,cn_
cn_CRABP1,CNV,cn_
cn_RASGRF1,CNV,cn_
cn_KIAA1199,CNV,cn_
cn_TMC3,CNV,cn_
cn_AP3B2,CNV,cn_
cn_BNC1,CNV,cn_
cn_NTRK3,CNV,cn_
cn_ACAN,CNV,cn_
cn_RHCG,CNV,cn_
cn_PLIN1,CNV,cn_
cn_MESP1,CNV,cn_
cn_ANPEP,CNV,cn_
cn_ST8SIA2,CNV,cn_
cn_RGMA,CNV,cn_
cn_SYNM,CNV,cn_
cn_ARHGDIG,CNV,cn_
cn_FBXL16,CNV,cn_
cn_METRN,CNV,cn_
cn_SOX8,CNV,cn_
cn_CACNA1H,CNV,cn_
cn_BAIAP3,CNV,cn_
cn_IGFALS,CNV,cn_
cn_NPW,CNV,cn_
cn_RAB26,CNV,cn_
cn_PRSS33,CNV,cn_
cn_KREMEN2,CNV,cn_
cn_PKMYT1,CNV,cn_
cn_CLDN6,CNV,cn_
cn_C16orf89,CNV,cn_
cn_ABAT,CNV,cn_
cn_GRIN2A,CNV,cn_
cn_TNFRSF17,CNV,cn_
cn_SHISA9,CNV,cn_
cn_ABCC6,CNV,cn_
cn_SYT17,CNV,cn_
cn_TMC5,CNV,cn_
cn_GP2,CNV,cn_
cn_ACSM5,CNV,cn_
cn_ACSM1,CNV,cn_
cn_DNAH3,CNV,cn_
cn_CRYM,CNV,cn_
cn_SCNN1G,CNV,cn_
cn_SCNN1B,CNV,cn_
cn_HS3ST4,CNV,cn_
cn_CD19,CNV,cn_
cn_ASPHD1,CNV,cn_
cn_PYDC1,CNV,cn_
cn_ABCC12,CNV,cn_
cn_ABCC11,CNV,cn_
cn_CBLN1,CNV,cn_
cn_TOX3,CNV,cn_
cn_IRX6,CNV,cn_
cn_SLC6A2,CNV,cn_
cn_CES1,CNV,cn_
cn_MT1M,CNV,cn_
cn_MT1G,CNV,cn_
cn_CCL17,CNV,cn_
cn_RRAD,CNV,cn_
cn_CES3,CNV,cn_
cn_RLTPR,CNV,cn_
cn_CDH3,CNV,cn_
cn_CDH1,CNV,cn_
cn_HAS3,CNV,cn_
cn_IL34,CNV,cn_
cn_CALB2,CNV,cn_
cn_CHST4,CNV,cn_
cn_TAT,CNV,cn_
cn_HP,CNV,cn_
cn_SYCE1L,CNV,cn_
cn_ADAMTS18,CNV,cn_
cn_CLEC3A,CNV,cn_
cn_PKD1L2,CNV,cn_
cn_SDR42E1,CNV,cn_
cn_CPNE7,CNV,cn_
cn_CCDC144B,CNV,cn_
cn_MFAP4,CNV,cn_
cn_ALDH3A1,CNV,cn_
cn_SLC13A2,CNV,cn_
cn_CORO6,CNV,cn_
cn_SLC6A4,CNV,cn_
cn_RHBDL3,CNV,cn_
cn_CCL11,CNV,cn_
cn_GAS2L2,CNV,cn_
cn_CCL14,CNV,cn_
cn_CCL18,CNV,cn_
cn_STAC2,CNV,cn_
cn_PPP1R1B,CNV,cn_
cn_PNMT,CNV,cn_
cn_IKZF3,CNV,cn_
cn_TOP2A,CNV,cn_
cn_TNS4,CNV,cn_
cn_CCR7,CNV,cn_
cn_KRT23,CNV,cn_
cn_KRT31,CNV,cn_
cn_KRT13,CNV,cn_
cn_KRT14,CNV,cn_
cn_KRT16,CNV,cn_
cn_HAP1,CNV,cn_
cn_WNK4,CNV,cn_
cn_RND2,CNV,cn_
cn_ETV4,CNV,cn_
cn_MEOX1,CNV,cn_
cn_CD300LG,CNV,cn_
cn_PYY,CNV,cn_
cn_RUNDC3A,CNV,cn_
cn_GFAP,CNV,cn_
cn_CRHR1,CNV,cn_
cn_HOXB2,CNV,cn_
cn_HOXB5,CNV,cn_
cn_HOXB13,CNV,cn_
cn_B4GALNT2,CNV,cn_
cn_NGFR,CNV,cn_
cn_DLX3,CNV,cn_
cn_CHAD,CNV,cn_
cn_HLF,CNV,cn_
cn_TMEM100,CNV,cn_
cn_TEX14,CNV,cn_
cn_PPM1E,CNV,cn_
cn_PRR11,CNV,cn_
cn_CA4,CNV,cn_
cn_TCAM1P,CNV,cn_
cn_SCN4A,CNV,cn_
cn_RGS9,CNV,cn_
cn_CACNG4,CNV,cn_
cn_CACNG1,CNV,cn_
cn_SLC16A6,CNV,cn_
cn_ABCA8,CNV,cn_
cn_ABCA9,CNV,cn_
cn_ABCA6,CNV,cn_
cn_ABCA10,CNV,cn_
cn_KCNJ16,CNV,cn_
cn_SSTR2,CNV,cn_
cn_SDK2,CNV,cn_
cn_KIF19,CNV,cn_
cn_FOXJ1,CNV,cn_
cn_ST6GALNAC1,CNV,cn_
cn_MGAT5B,CNV,cn_
cn_BIRC5,CNV,cn_
cn_CBX2,CNV,cn_
cn_NPTX1,CNV,cn_
cn_NOTUM,CNV,cn_
cn_CLUL1,CNV,cn_
cn_ADCYAP1,CNV,cn_
cn_MYOM1,CNV,cn_
cn_DLGAP1,CNV,cn_
cn_LAMA1,CNV,cn_
cn_CIDEA,CNV,cn_
cn_CXADRP3,CNV,cn_
cn_ANKRD30B,CNV,cn_
cn_GREB1L,CNV,cn_
cn_LAMA3,CNV,cn_
cn_AQP4,CNV,cn_
cn_CHST9,CNV,cn_
cn_CDH2,CNV,cn_
cn_DSC3,CNV,cn_
cn_DSC1,CNV,cn_
cn_DSG1,CNV,cn_
cn_DSG3,CNV,cn_
cn_NOL4,CNV,cn_
cn_SLC39A6,CNV,cn_
cn_SLC14A2,CNV,cn_
cn_SIGLEC15,CNV,cn_
cn_MAPK4,CNV,cn_
cn_CCDC68,CNV,cn_
cn_ONECUT2,CNV,cn_
cn_GRP,CNV,cn_
cn_SERPINB5,CNV,cn_
cn_SERPINB3,CNV,cn_
cn_SERPINB7,CNV,cn_
cn_SERPINB2,CNV,cn_
cn_CDH7,CNV,cn_
cn_CDH19,CNV,cn_
cn_CBLN2,CNV,cn_
cn_GZMM,CNV,cn_
cn_HCN2,CNV,cn_
cn_AZU1,CNV,cn_
cn_LPPR3,CNV,cn_
cn_CFD,CNV,cn_
cn_CELF5,CNV,cn_
cn_ZFR2,CNV,cn_
cn_LRG1,CNV,cn_
cn_FUT3,CNV,cn_
cn_CAPS,CNV,cn_
cn_PCP2,CNV,cn_
cn_FCER2,CNV,cn_
cn_FBN3,CNV,cn_
cn_MUC16,CNV,cn_
cn_P2RY11,CNV,cn_
cn_ICAM5,CNV,cn_
cn_MAST1,CNV,cn_
cn_PALM3,CNV,cn_
cn_SLC1A6,CNV,cn_
cn_CASP14,CNV,cn_
cn_PGLYRP2,CNV,cn_
cn_CYP4F22,CNV,cn_
cn_CYP4F8,CNV,cn_
cn_CYP4F3,CNV,cn_
cn_CYP4F12,CNV,cn_
cn_UCA1,CNV,cn_
cn_CYP4F11,CNV,cn_
cn_NWD1,CNV,cn_
cn_CPAMD8,CNV,cn_
cn_B3GNT3,CNV,cn_
cn_TDRD12,CNV,cn_
cn_SLC7A10,CNV,cn_
cn_CHST8,CNV,cn_
cn_HPN,CNV,cn_
cn_FXYD1,CNV,cn_
cn_MAG,CNV,cn_
cn_FFAR2,CNV,cn_
cn_DMKN,CNV,cn_
cn_UPK1A,CNV,cn_
cn_HSPB6,CNV,cn_
cn_APLP1,CNV,cn_
cn_PPP1R14A,CNV,cn_
cn_C19orf33,CNV,cn_
cn_RYR1,CNV,cn_
cn_LGALS7,CNV,cn_
cn_LGALS7B,CNV,cn_
cn_NCCRP1,CNV,cn_
cn_DLL3,CNV,cn_
cn_FCGBP,CNV,cn_
cn_CNTD2,CNV,cn_
cn_MIA,CNV,cn_
cn_CYP2A6,CNV,cn_
cn_CYP2B7P1,CNV,cn_
cn_CEACAM7,CNV,cn_
cn_CEACAM6,CNV,cn_
cn_CD79A,CNV,cn_
cn_ATP1A3,CNV,cn_
cn_KCNN4,CNV,cn_
cn_CBLC,CNV,cn_
cn_FOSB,CNV,cn_
cn_FOXA3,CNV,cn_
cn_KCNC3,CNV,cn_
cn_SPIB,CNV,cn_
cn_KLK6,CNV,cn_
cn_KLK7,CNV,cn_
cn_KLK8,CNV,cn_
cn_KLK13,CNV,cn_
cn_KLK14,CNV,cn_
cn_HAS1,CNV,cn_
cn_NLRP7,CNV,cn_
cn_NLRP2,CNV,cn_
cn_TNNT1,CNV,cn_
cn_COX6B2,CNV,cn_
cn_NLRP5,CNV,cn_
cn_PEG3,CNV,cn_
cn_ZSCAN1,CNV,cn_
cn_DEFB132,CNV,cn_
cn_RSPO4,CNV,cn_
cn_SIRPG,CNV,cn_
cn_TGM3,CNV,cn_
cn_ADAM33,CNV,cn_
cn_SPEF1,CNV,cn_
cn_PRND,CNV,cn_
cn_CHGB,CNV,cn_
cn_FERMT1,CNV,cn_
cn_PAK7,CNV,cn_
cn_SNAP25,CNV,cn_
cn_FLRT3,CNV,cn_
cn_PCSK2,CNV,cn_
cn_PTPRT,CNV,cn_
cn_BCAS1,CNV,cn_
cn_CYP24A1,CNV,cn_
cn_BMP7,CNV,cn_
cn_PCK1,CNV,cn_
cn_ZBP1,CNV,cn_
cn_C20orf85,CNV,cn_
cn_APCDD1L,CNV,cn_
cn_ZNF831,CNV,cn_
cn_EDN3,CNV,cn_
cn_GATA5,CNV,cn_
cn_COL9A3,CNV,cn_
cn_EEF1A2,CNV,cn_
cn_SRMS,CNV,cn_
cn_MYT1,CNV,cn_
cn_ABCC13,CNV,cn_
cn_CXADR,CNV,cn_
cn_CHODL,CNV,cn_
cn_NCAM2,CNV,cn_
cn_B3GALT5,CNV,cn_
cn_C21orf88,CNV,cn_
cn_FAM3B,CNV,cn_
cn_TMPRSS2,CNV,cn_
cn_UMODL1,CNV,cn_
cn_S100B,CNV,cn_
cn_CECR7,CNV,cn_
cn_CECR2,CNV,cn_
cn_CDC45,CNV,cn_
cn_PRAME,CNV,cn_
cn_VPREB3,CNV,cn_
cn_GSTT1,CNV,cn_
cn_MYO18B,CNV,cn_
cn_SEZ6L,CNV,cn_
cn_NEFH,CNV,cn_
cn_SEC14L2,CNV,cn_
cn_INPP5J,CNV,cn_
cn_SLC5A1,CNV,cn_
cn_TMPRSS6,CNV,cn_
cn_ELFN2,CNV,cn_
cn_LGALS2,CNV,cn_
cn_SOX10,CNV,cn_
cn_APOBEC3B,CNV,cn_
cn_CACNA1I,CNV,cn_
cn_SEPT3,CNV,cn_
cn_SERHL2,CNV,cn_
cn_SCUBE1,CNV,cn_
cn_MPPED1,CNV,cn_
cn_SULT4A1,CNV,cn_
cn_PHF21B,CNV,cn_
cn_UPK3A,CNV,cn_
cn_SMC1B,CNV,cn_
cn_WNT7B,CNV,cn_
cn_KLHDC7B,CNV,cn_
mu_ANK3,Methylation,mu_
mu_GATA3,Methylation,mu_
mu_HECTD4,Methylation,mu_
mu_LRBA,Methylation,mu_
mu_LRP2,Methylation,mu_
mu_SYNE1,Methylation,mu_
mu_CDH1,Methylation,mu_
mu_MGA,Methylation,mu_
mu_MUC16,Methylation,mu_
mu_ZFHX4,Methylation,mu_
mu_LAMA2,Methylation,mu_
mu_MLL3,Methylation,mu_
mu_MUC5B,Methylation,mu_
mu_PLXNA4,Methylation,mu_
mu_PTPRD,Methylation,mu_
mu_CSMD2,Methylation,mu_
mu_DSCAM,Methylation,mu_
mu_FAT2,Methylation,mu_
mu_MAP3K1,Methylation,mu_
mu_MED12,Methylation,mu_
mu_RNA5-8SP6,Methylation,mu_
mu_AHCTF1,Methylation,mu_
mu_APOBR,Methylation,mu_
mu_COL14A1,Methylation,mu_
mu_COL7A1,Methylation,mu_
mu_CSMD1,Methylation,mu_
mu_CUBN,Methylation,mu_
mu_DMD,Methylation,mu_
mu_DNAH8,Methylation,mu_
mu_GOLGA6L2,Methylation,mu_
mu_HYDIN,Methylation,mu_
mu_MUC12,Methylation,mu_
mu_PLCE1,Methylation,mu_
mu_RYR2,Methylation,mu_
mu_USH2A,Methylation,mu_
mu_AHNAK,Methylation,mu_
mu_CDH23,Methylation,mu_
mu_CEP350,Methylation,mu_
mu_DNAH1,Methylation,mu_
mu_DNAH7,Methylation,mu_
mu_HERC2,Methylation,mu_
mu_IGSF10,Methylation,mu_
mu_KAT6B,Methylation,mu_
mu_PIK3CA,Methylation,mu_
mu_QSER1,Methylation,mu_
mu_RB1,Methylation,mu_
mu_TAF1L,Methylation,mu_
mu_TCHH,Methylation,mu_
mu_TEX15,Methylation,mu_
mu_TP53,Methylation,mu_
mu_ZFHX3,Methylation,mu_
mu_SPEN,Methylation,mu_
mu_FAT3,Methylation,mu_
mu_MUC4,Methylation,mu_
mu_OBSCN,Methylation,mu_
mu_MUC20,Methylation,mu_
mu_ODZ4,Methylation,mu_
mu_ZAN,Methylation,mu_
mu_AKAP9,Methylation,mu_
mu_DNAH12,Methylation,mu_
mu_DNAH5,Methylation,mu_
mu_KIF26B,Methylation,mu_
mu_NCOR1,Methylation,mu_
mu_ARID1A,Methylation,mu_
mu_ASPM,Methylation,mu_
mu_CROCC,Methylation,mu_
mu_DNAH17,Methylation,mu_
mu_DSPP,Methylation,mu_
mu_HRNR,Methylation,mu_
mu_SVEP1,Methylation,mu_
mu_ANK1,Methylation,mu_
mu_CROCCP2,Methylation,mu_
mu_MTOR,Methylation,mu_
mu_LAMA1,Methylation,mu_
mu_MST1P9,Methylation,mu_
mu_PCNT,Methylation,mu_
mu_SCN2A,Methylation,mu_
mu_TTN,Methylation,mu_
mu_DNAH6,Methylation,mu_
mu_DYNC2H1,Methylation,mu_
mu_OTOGL,Methylation,mu_
mu_TNRC6B,Methylation,mu_
mu_NF1,Methylation,mu_
mu_PCLO,Methylation,mu_
mu_ADAMTSL1,Methylation,mu_
mu_CACNA1D,Methylation,mu_
mu_FBN3,Methylation,mu_
mu_MEGF8,Methylation,mu_
mu_DST,Methylation,mu_
mu_LYST,Methylation,mu_
mu_MDN1,Methylation,mu_
mu_TP53BP1,Methylation,mu_
mu_ABCB1,Methylation,mu_
mu_MXRA5,Methylation,mu_
mu_HEATR7B2,Methylation,mu_
mu_ATP10B,Methylation,mu_
mu_CHD4,Methylation,mu_
mu_FAT4,Methylation,mu_
mu_FREM1,Methylation,mu_
mu_MUC17,Methylation,mu_
mu_TG,Methylation,mu_
mu_TLN1,Methylation,mu_
mu_DNAH3,Methylation,mu_
mu_MGAM,Methylation,mu_
mu_NEB,Methylation,mu_
mu_RNF213,Methylation,mu_
mu_SPTA1,Methylation,mu_
mu_FLNC,Methylation,mu_
mu_MLL2,Methylation,mu_
mu_PDE4DIP,Methylation,mu_
mu_MYH9,Methylation,mu_
mu_AFF2,Methylation,mu_
mu_COL6A5,Methylation,mu_
mu_CTCF,Methylation,mu_
mu_MACF1,Methylation,mu_
mu_APOB,Methylation,mu_
mu_CNTRL,Methylation,mu_
mu_FLG,Methylation,mu_
mu_FMN2,Methylation,mu_
mu_UBR4,Methylation,mu_
mu_GPR98,Methylation,mu_
mu_PKHD1,Methylation,mu_
mu_PTEN,Methylation,mu_
mu_VPS13D,Methylation,mu_
mu_ANK2,Methylation,mu_
mu_MYH11,Methylation,mu_
mu_FAM157B,Methylation,mu_
mu_SRCAP,Methylation,mu_
mu_CMYA5,Methylation,mu_
mu_BRWD1,Methylation,mu_
mu_HSPG2,Methylation,mu_
mu_RP1,Methylation,mu_
mu_RUNX1,Methylation,mu_
mu_TBP,Methylation,mu_
mu_WDR52,Methylation,mu_
mu_BIRC6,Methylation,mu_
mu_FAT1,Methylation,mu_
mu_TPR,Methylation,mu_
mu_FRAS1,Methylation,mu_
mu_RELN,Methylation,mu_
mu_RPGR,Methylation,mu_
mu_NOTCH2,Methylation,mu_
mu_DNHD1,Methylation,mu_
mu_XIRP2,Methylation,mu_
mu_ANKRD30BL,Methylation,mu_
mu_CBFB,Methylation,mu_
mu_PDE3A,Methylation,mu_
mu_CACNA1A,Methylation,mu_
mu_THSD7B,Methylation,mu_
mu_ABCA13,Methylation,mu_
mu_EYS,Methylation,mu_
mu_PKD1L1,Methylation,mu_
mu_RYR3,Methylation,mu_
mu_FRG1B,Methylation,mu_
mu_HUWE1,Methylation,mu_
mu_FOXA1,Methylation,mu_
mu_FCGBP,Methylation,mu_
mu_CACNA1E,Methylation,mu_
mu_ANKRD12,Methylation,mu_
mu_CHD5,Methylation,mu_
mu_GRID1,Methylation,mu_
mu_KIF4A,Methylation,mu_
mu_MLL,Methylation,mu_
mu_PCNXL2,Methylation,mu_
mu_PRKDC,Methylation,mu_
mu_SI,Methylation,mu_
mu_PTPRB,Methylation,mu_
mu_CACNA1C,Methylation,mu_
mu_CSPP1,Methylation,mu_
mu_PREX2,Methylation,mu_
mu_SMG1,Methylation,mu_
mu_UBR5,Methylation,mu_
mu_KIAA1210,Methylation,mu_
mu_COL6A3,Methylation,mu_
mu_ODZ1,Methylation,mu_
mu_AHNAK2,Methylation,mu_
mu_AKAP13,Methylation,mu_
mu_ASTN1,Methylation,mu_
mu_CACNA1F,Methylation,mu_
mu_CHD6,Methylation,mu_
mu_CHD8,Methylation,mu_
mu_CNTNAP2,Methylation,mu_
mu_DNAH2,Methylation,mu_
mu_DYNC1H1,Methylation,mu_
mu_FLNA,Methylation,mu_
mu_GRIN2A,Methylation,mu_
mu_KIAA0947,Methylation,mu_
mu_KIAA1109,Methylation,mu_
mu_LRP1,Methylation,mu_
mu_MYH1,Methylation,mu_
mu_MYO18B,Methylation,mu_
mu_RYR1,Methylation,mu_
mu_SDK1,Methylation,mu_
mu_STARD9,Methylation,mu_
mu_ERBB2,Methylation,mu_
mu_SETD2,Methylation,mu_
mu_VCAN,Methylation,mu_
mu_WDFY3,Methylation,mu_
mu_ATM,Methylation,mu_
mu_UTRN,Methylation,mu_
mu_VPS13B,Methylation,mu_
mu_MAP2,Methylation,mu_
mu_DNAH10,Methylation,mu_
mu_SYNE2,Methylation,mu_
mu_MAP2K4,Methylation,mu_
mu_TNXB,Methylation,mu_
mu_ASH1L,Methylation,mu_
mu_ASXL2,Methylation,mu_
mu_HMCN1,Methylation,mu_
mu_ALMS1,Methylation,mu_
mu_ITPR2,Methylation,mu_
mu_TBX3,Methylation,mu_
mu_F8,Methylation,mu_
mu_AKD1,Methylation,mu_
mu_ERBB3,Methylation,mu_
mu_CENPE,Methylation,mu_
mu_ABCA12,Methylation,mu_
mu_C9orf174,Methylation,mu_
mu_F5,Methylation,mu_
mu_FRMPD4,Methylation,mu_
mu_LRP1B,Methylation,mu_
mu_DCHS2,Methylation,mu_
mu_HERC1,Methylation,mu_
mu_CSMD3,Methylation,mu_
mu_USP34,Methylation,mu_
mu_BAZ2B,Methylation,mu_
mu_FLG2,Methylation,mu_
mu_PCDH19,Methylation,mu_
mu_VPS13A,Methylation,mu_
mu_PAPPA2,Methylation,mu_
mu_PDZD2,Methylation,mu_
mu_BCORL1,Methylation,mu_
mu_APC,Methylation,mu_
mu_PRUNE2,Methylation,mu_
mu_GON4L,Methylation,mu_
mu_SPHKAP,Methylation,mu_
mu_SACS,Methylation,mu_
mu_MYCBP2,Methylation,mu_
mu_DOCK11,Methylation,mu_
mu_FBN1,Methylation,mu_
mu_DNAH11,Methylation,mu_
mu_PIWIL1,Methylation,mu_
mu_SCN10A,Methylation,mu_
mu_ATRX,Methylation,mu_
mu_PKHD1L1,Methylation,mu_
mu_MAP1A,Methylation,mu_
